text,label,rating
They look good and stick good! I just do not like the rounded shape because I was always bumping it and Siri kept popping up and it was irritating. I just will not buy a product like this again,positive,5
These stickers work like the review says they do. They stick on great and they stay on the phone. They are super stylish and I can share them with my sister. :),positive,4
These are awesome and make my phone look so stylish! I have only used one so far and have had it on for almost a year! CAN YOU BELIEVE THAT! ONE YEAR!! Great quality!,positive,5
"Item arrived in great time and was in perfect condition. However, I ordered these buttons because they were a great deal and included a FREE screen protector. I never received one. Though its not a big deal, it would have been nice to get it since they claim it comes with one.",positive,4
"awesome! stays on, and looks great. can be used on multiple apple products. especially having nails, it helps to have an elevated key.",positive,4
These make using the home button easy. My daughter and I both like them. I would purchase them again. Well worth the price.,positive,5
Came just as described.. It does not come unstuck and its cute! People ask where I got them from & it is great when driving.,positive,4
it worked for the first week then it only charge my phone to 2negative%. it is a waste of money.,negative,1
"Good case, solid build. Protects phone all around with good access to buttons. Battery charges with full battery lasts me a full day. I usually leave my house around 7am and return at positivenegativepm. I am glad that it lasts from start to end. 5/5",positive,3
"This is a fantastic case. Very stylish and protects my phone. Easy access to all buttons and features, without any loss of phone reception. But most importantly, it double power, just as promised. Great buy",positive,4
this case fits perfectly on the s4 and keeps me powerd all day I can not complain! a+ recommend it to all,positive,4
"This is the first battery case I have had for my Galaxy S4. The S4 fits veryery well, is slim and does not add much weight to the Galaxy S4. It doubles the battery life. You can charge either the battery, the phone or both. There is a handy on-off switch with leds to indicate the level of charge.The battery case came on time and was packaged well. Well worth the price.",positive,4
"Performs exactly as advertised . It is veryery sturdily built,and provides lots of boost . It does exactly what it is supposed too .Easy to insert phone in and out . Definitely a 5 star experience. Do not know what I would do without this case LOVE LOVE LOVE it.",positive,3
"Unlike Most of the Rechargeable Battery cases, PowerBear Lasts up to 2 whole days. It does not heat up like most of the other ones, and I was completely fascinated by the ultra light and sleek design for the case. Before I was using the Mophie case but I could not wear it often because it was like having a hot brick in your pocket, Hence I had to always leave it at home.On the contrary, with PowerBear, I never take it off because I can not even tell the difference. Also it is build in a super STRONG manner and even though I dropped my phone a few times, its shock resistant technology will not let a single thing happen to the case or the phone. The PowerBear case became an extension to my phone that I never have to take off because when I charge it at night, it charges both my phone and the case, and I have battery life for more than two days. I was also shocked to hear all the positive compliments I was hearing from people at my job, fitness center, and throughout the community. Everybody was loving the case, and what they do not know is that it cost me 6negative % CHEAPER then all the other brand. This is the best purchase I have made on the internet, and I am going to buy more for my family in time for the Holidays. THANK YOU POWERBEAR!!!!!!!!!!!!!!",positive,5
"Just what I needed. I needed a phone case for myself and my two sons, but I also needed new replacement batteries. Now this is not the case, since I got both in one. Awesome thanks A+",positive,5
"When there is no outlets, or chargers near by its Powerbear to the rescue! Ordered one for my husband, and myself. Great purchase!!",positive,5
"It works great. Does not heat up like crazy like the other ones I got, and cheaper too! Its definetly the best power case for the S4 you can get, thats why I got one for me and my wife. I wonder why its called power bear..",positive,3
"Surprisingly, this inexpensive veryersion works just as well and just as reliably as the expensive veryariety. It has been working for me for months now. No problem. Excellent veryalue.",positive,4
"I have tested this against the griffin dual output unit.I checked the charging current.This unit was charging my galaxy note battery with 7negative ma.Griffin was charging with 4negative ma! And the griffin was 4 times more expensive.I have not used these for veryery long. I bought positive5 of them, because they are so cheap and because they actually do seem to provide high current.No idea how long they last. I assume they will work fine. I have not been using them much. I did the testing , just to stock up on a high current charger. This passed and I stocked up.",negative,1
It worked great for the first couple of weeks then it just stopped completely.. so basically a small waste of money.,positive,4
I love that it has two ports for my phone and ipod. Who wants to be putting too many things in one socket. Sleek and convenient to store and I just love it.,positive,5
"just what you need, I am always having to charge my phone and then find I have another item to charge also.",negative,1
"does not have the need amps to charge things like ipads, or hp touchpads. but its super small and compact.",negative,2
"They are nothing special for sure, but it is nice that you can tell when it is powered up by the led that glows in it. able to charge two phones at once in the car which is nice.",positive,4
"I have several chargers. Have more than one veryehicle so I keep more than one of these in each. Nothing more frustrating than finding all of a sudden one quits working, and you have no way to recharge your phone. That is always when you need it most. This one works well for any of my products.",negative,1
I bought this a little skeptical. After I tried it I bought two more. It works great and so far it has lasted for about 3 months. If that changes I will update this review.,positive,4
I am disappointed that the positiveA did not work with my iPad. That is what I get for buying a cheap adapter.,negative,2
